AC2C3C    !
AC2C4C    !!
AC2C5C    """"
AC2C6C    #
AC2CAD    ##
AC2C2D    $
AC2C3D    $$
AC2C4D    %
AC2C5D    %%
AC2C6D    &
AC2CAH    (
AC2C2H    ()
AC2C3H    (c)
AC2C4H    (r)
AC2C5H    (tm)
AC2C6H    )
AC2CAS    *
AC2C2S    **
AC2C3S    +
AC2C4S    -
AC2C5S    0
AC2C6S    007
AC3C2C    1
AC3C4C    1%
AC3C5C    1/2
AC3C6C    1/3
AC3CAD    1/4
AC3C2D    1/8
AC3C3D    10
AC3C4D    10%
AC3C5D    100
AC3C6D    100%
AC3CAH    1000
AC3C2H    100th
AC3C3H    101
AC3C4H    1013
AC3C5H    1019
AC3C6H    101st
AC3CAS    1031
AC3C2S    1049
AC3C3S    10:00
AC3C4S    10:30
AC3C5S    10th
AC3C6S    11
AC4C2C    1103
AC4C3C    111
AC4C5C    1111
AC4C6C    11:00
AC4CAD    11:30
AC4C2D    11th
AC4C3D    12
AC4C4D    1223
AC4C5D    123
AC4C6D    1234
AC4CAH    1289
AC4C2H    12:00
AC4C3H    12:30
AC4C4H    12th
AC4C5H    13
AC4C6H    13th
AC4CAS    14
AC4C2S    1409
AC4C3S    1492
AC4C4S    14th
AC4C5S    15
AC4C6S    15%
AC5C2C    1500
AC5C3C    1511
AC5C4C    1559
AC5C6C    15th
AC5CAD    16
AC5C2D    1600
AC5C3D    1601
AC5C4D    16th
AC5C5D    17
AC5C6D    1700
AC5CAH    1733
AC5C2H    1776
AC5C3H    17th
AC5C4H    18
AC5C5H    1800
AC5C6H    1811
AC5CAS    1889
AC5C2S    18th
AC5C3S    19
AC5C4S    1900
AC5C5S    1901
AC5C6S    1910
AC6C2C    1920
AC6C3C    1925
AC6C4C    1930
AC6C5C    1931
AC6CAD    1935
AC6C2D    1940
AC6C3D    1945
AC6C4D    1950
AC6C5D    1955
AC6C6D    1960
AC6CAH    1965
AC6C2H    1970
AC6C3H    1973
AC6C4H    1975
AC6C5H    1980
AC6C6H    1985
AC6CAS    1990
AC6C2S    1991
AC6C3S    1992
AC6C4S    1993
AC6C5S    1994
AC6C6S    1995
ACAD2C    1996
ACAD3C    1997
ACAD4C    19th
ACAD5C    1:00
ACAD6C    1:30
ACAD2D    1st
ACAD3D    2
ACAD4D    2%
ACAD5D    2/3
ACAD6D    20
ACADAH    20%
ACAD2H    200
ACAD3H    2000
ACAD4H    2001
ACAD5H    2020
ACAD6H    2039
ACADAS    2069
ACAD2S    20th
ACAD3S    21
ACAD4S    2129
ACAD5S    2141
ACAD6S    21st
AC2D2C    22
AC2D3C    222
AC2D4C    2222
AC2D5C    2273
AC2D6C    22nd
AC2DAD    23
AC2D3D    2339
AC2D4D    234
AC2D5D    2345
AC2D6D    2351
AC2DAH    2393
AC2D2H    2399
AC2D3H    23rd
AC2D4H    24
AC2D5H    2459
AC2D6H    2468
AC2DAS    24th
AC2D2S    25
AC2D3S    25%
AC2D4S    2543
AC2D5S    25th
AC2D6S    26
AC3D2C    2693
AC3D3C    26th
AC3D4C    27
AC3D5C    2741
AC3D6C    27th
AC3DAD    28
AC3D2D    28th
AC3D4D    29
AC3D5D    2903
AC3D6D    2939
AC3DAH    2963
AC3D2H    2969
AC3D3H    29th
AC3D4H    2:00
AC3D5H    2:30
AC3D6H    2nd
AC3DAS    3
AC3D2S    3%
AC3D3S    3/4
AC3D4S    3/8
AC3D5S    30
AC3D6S    30%
AC4D2C    300
AC4D3C    3000
AC4D4C    3023
AC4D5C    30th
AC4D6C    31
AC4DAD    31st
AC4D2D    32
AC4D3D    32nd
AC4D5D    33
AC4D6D    3329
AC4DAH    333
AC4D2H    3333
AC4D3H    3389
AC4D4H    33rd
AC4D5H    34
AC4D6H    3413
AC4DAS    345
AC4D2S    3456
AC4D3S    34th
AC4D4S    35
AC4D5S    35%
AC4D6S    3539
AC5D2C    35th
AC5D3C    36
AC5D4C    3623
AC5D5C    36th
AC5D6C    37
AC5DAD    3779
AC5D2D    37th
AC5D3D    38
AC5D4D    3821
AC5D6D    38th
AC5DAH    39
AC5D2H    3911
AC5D3H    39th
AC5D4H    3:00
AC5D5H    3:30
AC5D6H    3rd
AC5DAS    4
AC5D2S    4%
AC5D3S    40
AC5D4S    40%
AC5D5S    400
AC5D6S    4000
AC6D2C    4019
AC6D3C    4073
AC6D4C    40th
AC6D5C    41
AC6D6C    41st
AC6DAD    42
AC6D2D    4211
AC6D3D    42nd
AC6D4D    43
AC6D5D    4321
AC6DAH    4349
AC6D2H    4373
AC6D3H    4391
AC6D4H    43rd
AC6D5H    44
AC6D6H    4409
AC6DAS    444
AC6D2S    4444
AC6D3S    4481
AC6D4S    44th
AC6D5S    45
AC6D6S    45%
ACAH2C    456
ACAH3C    4567
ACAH4C    45th
ACAH5C    46
ACAH6C    46th
ACAHAD    47
ACAH2D    4793
ACAH3D    47th
ACAH4D    48
ACAH5D    48th
ACAH6D    49
ACAH2H    49th
ACAH3H    4:00
ACAH4H    4:30
ACAH5H    4th
ACAH6H    5
ACAHAS    5%
ACAH2S    5/8
ACAH3S    50
ACAH4S    50%
ACAH5S    500
ACAH6S    5000
AC2H2C    5003
AC2H3C    5039
AC2H4C    5051
AC2H5C    5081
AC2H6C    50th
AC2HAD    51
AC2H2D    51st
AC2H3D    52
